seed,ch_fixed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,5dice-3,RedflagsEnum.answer,3,none,2,338,0.13333333333333333,0.7647058823529411,1
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,1tiny,RedflagsEnum.answer,3,none,7,202,0.4666666666666667,0.21443736730360935,2
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,120,real-life,RedflagsEnum.answer,3,none,101,367,0.8416666666666667,0.3659022931206381,40
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,8,394,1.0,0.43249176728869376,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,30,fill_one_drone,RedflagsEnum.answer,3,none,16,860,0.5333333333333333,0.8730964467005076,8
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,20,orig-100birds,RedflagsEnum.answer,3,none,6,233,0.3,1.0,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,24,U-1-ch,RedflagsEnum.answer,3,none,12,493,0.5,0.532972972972973,6
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,4,orig,RedflagsEnum.answer,3,none,3,90,0.75,0.38626609442060084,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,5dice-3,RedflagsEnum.answer,3,none,5,442,0.3333333333333333,1.0,1
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,1tiny,RedflagsEnum.answer,3,none,4,319,0.26666666666666666,0.3386411889596603,2
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,120,real-life,RedflagsEnum.answer,3,none,100,293,0.8333333333333334,0.292123629112662,40
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,30,fill_one_drone,RedflagsEnum.answer,3,none,9,696,0.3,0.7065989847715736,8
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,20,orig-100birds,RedflagsEnum.answer,3,none,3,233,0.15,1.0,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,4,orig,RedflagsEnum.answer,3,none,3,96,0.75,0.41201716738197425,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,24,U-1-ch,RedflagsEnum.answer,3,none,3,422,0.125,0.4562162162162162,6
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,5dice-3,RedflagsEnum.answer,3,none,1,408,0.06666666666666667,0.9230769230769231,1
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,3,338,0.375,0.37102085620197583,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,1tiny,RedflagsEnum.answer,3,none,3,283,0.2,0.30042462845010615,2
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,120,real-life,RedflagsEnum.answer,3,none,95,27,0.7916666666666666,0.026919242273180457,40
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,30,fill_one_drone,RedflagsEnum.answer,3,none,12,252,0.4,0.25583756345177666,8
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,24,U-1-ch,RedflagsEnum.answer,3,none,5,332,0.20833333333333334,0.3589189189189189,6
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,1tiny,RedflagsEnum.answer,3,none,4,159,0.26666666666666666,0.16878980891719744,2
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,1,369,0.125,0.40504939626783754,3
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,5dice-3,RedflagsEnum.answer,3,none,2,413,0.13333333333333333,0.9343891402714932,1
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,4,orig,RedflagsEnum.answer,3,none,3,55,0.75,0.23605150214592274,3
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,4,orig,RedflagsEnum.answer,3,B0.15-5,0,8,0.0,0.034334763948497854,3
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,20,91,0.6666666666666666,0.09238578680203045,8
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,8,58,0.3333333333333333,0.0627027027027027,6
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,10,53,0.6666666666666666,0.11990950226244344,1
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,1tiny,RedflagsEnum.answer,3,B0.15-5,11,64,0.7333333333333333,0.06794055201698514,2
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,120,real-life,RedflagsEnum.answer,3,B0.15-5,96,77,0.8,0.07676969092721835,40
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,4,orig,RedflagsEnum.answer,3,B0.15-5,0,8,0.0,0.034334763948497854,3
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,20,91,0.6666666666666666,0.09238578680203045,8
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,8,58,0.3333333333333333,0.0627027027027027,6
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,1tiny,RedflagsEnum.answer,3,B0.15-5,11,64,0.7333333333333333,0.06794055201698514,2
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,10,53,0.6666666666666666,0.11990950226244344,1
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,120,real-life,RedflagsEnum.answer,3,B0.15-5,96,77,0.8,0.07676969092721835,40
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,120,real-life,RedflagsEnum.answer,3,B0.15-5,96,77,0.8,0.07676969092721835,40
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,8,5dice-2-1000epoch,RedflagsEnum.answer,3,B0.15-5,8,66,1.0,0.07244785949506037,3
7,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,20,145,0.6666666666666666,0.14720812182741116,8
