seed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,2.0,0.0,0.0021231422505307855,1.0
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,43.0,0.0,0.045647558386411886,1.0
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,5.0,0.0,0.005307855626326964,1.0
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,5.0,0.0,0.005307855626326964,1.0
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,19.0,0.0,0.020169851380042462,1.0
5000,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,none,2.0,178.0,0.2,0.18895966029723993,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,121.0,0.0,0.12845010615711253,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,121.0,0.0,0.12845010615711253,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,121.0,0.0,0.12845010615711253,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,121.0,0.0,0.12845010615711253,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,121.0,0.0,0.12845010615711253,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,none,5.0,213.0,0.5,0.22611464968152867,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,B0.5-9,5.0,89.0,0.5,0.09447983014861996,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,B0.9-9,5.0,107.0,0.5,0.11358811040339703,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-5,4.0,129.0,0.4,0.13694267515923567,1.0
