seed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
5005,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,9,0.0,0.009554140127388535,1
5005,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,23,0.0,0.024416135881104035,1
5005,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,5,96,0.5,0.10191082802547771,1
5005,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,20,0.0,0.021231422505307854,1
5005,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,17,0.0,0.018046709129511677,1
5005,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,5,124,0.5,0.1316348195329087,1
5005,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,2,388,0.2,0.4118895966029724,1
5005,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,12,0.0,0.012738853503184714,1
5005,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,1,270,0.1,0.28662420382165604,1
5005,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,23,0.0,0.024416135881104035,1
5005,C1,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,49,0.0,0.05201698513800425,1
5004,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,3,111,0.3,0.1178343949044586,1
5004,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,30,0.0,0.03184713375796178,1
5004,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,3,0.0,0.0031847133757961785,1
5004,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,20,0.0,0.021231422505307854,1
5004,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,6,0.0,0.006369426751592357,1
5004,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,5,0.0,0.005307855626326964,1
5004,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,5,96,0.5,0.10191082802547771,1
5004,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0,136,0.0,0.14437367303609341,1
